phrase,intent,doctype
find code that,BEHAVIORAL,
find the code that,BEHAVIORAL,
find the code which,BEHAVIORAL,
find code which,BEHAVIORAL,
code that,BEHAVIORAL,
how to,BEHAVIORAL,
how do i,BEHAVIORAL,
what does,BEHAVIORAL,
what is,BEHAVIORAL,
which class,BEHAVIORAL,
which method,BEHAVIORAL,
interface for,INTERFACE,class
interface to,INTERFACE,class
interface that,INTERFACE,class
abstract class for,ABSTRACT,class
abstract class that,ABSTRACT,class
base class for,ABSTRACT,class
superclass for,ABSTRACT,class
parent class for,ABSTRACT,class
abstract base,ABSTRACT,class
enum for,ENUM,class
enum that,ENUM,class
enum representing,ENUM,class
enum with,ENUM,class
record for,RECORD,class
record that,RECORD,class
data class for,RECORD,class
annotation for,ANNOTATION,class
annotation that,ANNOTATION,class
method that,JAVADOC,
method which,JAVADOC,
returns the,JAVADOC,
returns a,JAVADOC,
returns true,JAVADOC,
returns false,JAVADOC,
returns list,JAVADOC,
returns map,JAVADOC,
returns null,JAVADOC,
opens a,JAVADOC,
opens the,JAVADOC,
reads the,JAVADOC,
reads stored,JAVADOC,
writes the,JAVADOC,
writes index,JAVADOC,
applies to,JAVADOC,
applies boost,JAVADOC,
applies the,JAVADOC,
encodes token,JAVADOC,
converts the,JAVADOC,
converts query,JAVADOC,
computes the,JAVADOC,
computes dot,JAVADOC,
validates the,JAVADOC,
validates document,JAVADOC,
builds the,JAVADOC,
builds inverted,JAVADOC,
dispatches query,JAVADOC,
dispatches the,JAVADOC,
evaluates the,JAVADOC,
evaluates ranking,JAVADOC,
forwards query,JAVADOC,
handles incoming,JAVADOC,
registers a,JAVADOC,
recovers replica,JAVADOC,
evicts least,JAVADOC,
iterates over,JAVADOC,
resolves field,JAVADOC,
normalises the,JAVADOC,
class that,JAVADOC,
collector that,JAVADOC,
implementation of,IMPLEMENTATION,class
concrete implementation,IMPLEMENTATION,class
implementing class,IMPLEMENTATION,class
class that implements,IMPLEMENTATION,class
class which implements,IMPLEMENTATION,class
configure the,CONFIG,
configure maximum,CONFIG,
configure ranking,CONFIG,
configure embedding,CONFIG,
configure search,CONFIG,
configure document,CONFIG,
configure cache,CONFIG,
configure parse,CONFIG,
configure buffer,CONFIG,
set maximum,CONFIG,
set the,CONFIG,
set a,CONFIG,
tune the,CONFIG,
tune replica,CONFIG,
tune hnsw,CONFIG,
enable cross,CONFIG,
enable the,CONFIG,
handle corrupt,LIFECYCLE,
handle failed,LIFECYCLE,
handle network,LIFECYCLE,
handle timeout,LIFECYCLE,
handle out of memory,LIFECYCLE,
recover from,LIFECYCLE,
rollback incomplete,LIFECYCLE,
graceful shutdown,LIFECYCLE,
close all,LIFECYCLE,
replica recovery,LIFECYCLE,
node crash,LIFECYCLE,
container startup,LIFECYCLE,
daemon startup,LIFECYCLE,
lock factory,LIFECYCLE,
